i_episode,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
96,235.94503482,0.6600000000000003,0.674539814262,1.01104776571,0.0,0.00994347101602,4.14652200525,0.01,-1.24517227114,0.0300780690103,-3.50384152922,-0.000219325109061,26.5021598396,0.0,-0.000922067211047,769.289593169,900.001849609,900.002776448
97,236.007479434,0.6600000000000003,0.696092389507,1.01107807731,0.0,0.00997823517759,1.85952363748,0.01,-0.0726043263129,0.027636566674,-3.74921183602,-4.54267111023e-05,26.3937421323,0.0,0.00455011995393,762.951758658,900.000975283,900.002098011
98,236.81767161,0.6600000000000003,1.0454231495,1.01082707878,0.0,0.00986556088591,0.692134795809,0.01,1.1672581318,0.0289896717653,-3.60319749352,-0.000496013172763,28.1053367962,0.0,0.00219407154113,861.218448446,899.999424583,900.000771383
99,237.090067781,0.5400000000000001,1.30658268962,1.00161236281,0.0,0.0101004376305,5.06881332936,0.01,0.613611150658,-0.011399939568,-6.485247153,0.000515069266209,28.7916057365,0.0,0.00237237305038,899.447045786,899.997562654,899.998922778
100,237.062514086,0.5400000000000001,1.29183772466,1.00155099925,0.0,0.0100161816488,5.02701279071,0.01,0.51591057602,-0.0114665512775,-6.50141818258,6.81389296898e-05,28.7807112117,0.0,-0.00072310374817,899.059975452,899.999873214,900.002205285
101,236.45273699,0.48000000000000015,0.958494060669,1.00105692945,0.0,0.0100178106779,4.94378434577,0.01,0.462567088698,-0.00979462804769,-5.72358229095,-2.35220182146e-05,28.6011888646,0.0,0.00693416387502,892.185246539,900.000043519,899.999088407
102,237.51874709,0.7800000000000004,1.1780966658,1.01815410538,0.0,0.00980431132729,5.2154328548,0.01,0.49260252151,0.0166834313438,-6.05957928897,-0.000213293393227,28.8167082259,0.0,-0.00382619425408,899.508645621,900.001557697,900.004874131
103,234.526043931,0.6600000000000003,0.141975761336,1.01029014295,0.0,0.00991037219072,1.8038225203,0.01,-2.00489000321,0.0184562446059,-4.68332316369,-0.00160127154128,22.1079450975,0.0,0.616556257486,435.23896339,899.989808157,899.930841307
104,233.546227471,0.6000000000000002,0.186189284785,1.00581258825,0.0,0.0100299256307,0.764695215949,0.01,-0.0515629601292,0.0282847469502,-3.11416679802,0.000138400223144,26.3718459374,0.0,-0.0014412708476,890.968163325,900.001088279,900.000131259
105,233.658414801,0.5400000000000001,-0.0290003477892,1.0041097955,0.0,0.0101490957959,2.15179847209,0.01,-1.61414963081,-0.00030890034138,-5.38932332372,0.000554006147419,26.3861715107,0.0,0.00313287026516,783.556801004,900.00094175,900.002417294
106,233.468097683,0.5400000000000001,-0.0500932099259,1.0036115586,0.0,0.0101374148341,1.48324785735,0.01,-1.7123645894,0.0129626794285,-4.06665636181,0.00046684669936,27.1218173055,0.0,-0.00207807706139,824.699192249,900.00140611,900.001155043
107,232.68875764,0.7200000000000003,-0.403062138259,1.01376067716,0.0,0.00996808255614,0.313748088103,0.01,-3.28238998296,0.0322833331667,-3.89363440891,-0.000543757493694,15.0070017965,0.0,0.0415456819761,174.588931544,899.999251082,899.998157043
108,235.504228267,0.7200000000000003,0.437913110469,1.01501188488,0.0,0.00991182329798,1.0578219953,0.01,-1.2616598525,0.0479800317646,-2.29311709642,-0.000370935461006,27.7103186224,0.0,0.00271600023679,862.328790618,900.002534167,899.998587815
